#      R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.3884E-01  0.1704E-01  0.1101E-02
  0.7767E-01  0.3492E-01  0.2026E-02
  0.1165E+00  0.5362E-01  0.2777E-02
  0.1553E+00  0.7314E-01  0.3359E-02
  0.1942E+00  0.9348E-01  0.3777E-02
  0.2330E+00  0.1146E+00  0.4037E-02
  0.2719E+00  0.1365E+00  0.4150E-02
  0.3107E+00  0.1592E+00  0.4123E-02
  0.3495E+00  0.1826E+00  0.3970E-02
  0.3884E+00  0.2067E+00  0.3701E-02
  0.4272E+00  0.2315E+00  0.3331E-02
  0.4660E+00  0.2570E+00  0.2876E-02
  0.5049E+00  0.2830E+00  0.2354E-02
  0.5437E+00  0.3097E+00  0.1790E-02
  0.5825E+00  0.3368E+00  0.1235E-02
  0.6214E+00  0.3645E+00  0.8385E-03
  0.6602E+00  0.3926E+00  0.9304E-03
  0.6990E+00  0.4211E+00  0.1437E-02
  0.7379E+00  0.4500E+00  0.2066E-02
  0.7767E+00  0.4791E+00  0.2716E-02
  0.8156E+00  0.5084E+00  0.3350E-02
  0.8544E+00  0.5380E+00  0.3947E-02
  0.8932E+00  0.5676E+00  0.4494E-02
  0.9321E+00  0.5972E+00  0.4980E-02
  0.9709E+00  0.6269E+00  0.5395E-02
  0.1010E+01  0.6564E+00  0.5733E-02
  0.1049E+01  0.6858E+00  0.5988E-02
  0.1087E+01  0.7149E+00  0.6155E-02
  0.1126E+01  0.7437E+00  0.6234E-02
  0.1165E+01  0.7722E+00  0.6222E-02
  0.1204E+01  0.8001E+00  0.6122E-02
  0.1243E+01  0.8276E+00  0.5934E-02
  0.1282E+01  0.8544E+00  0.5665E-02
  0.1320E+01  0.8806E+00  0.5319E-02
  0.1359E+01  0.9061E+00  0.4905E-02
  0.1398E+01  0.9307E+00  0.4433E-02
  0.1437E+01  0.9544E+00  0.3916E-02
  0.1476E+01  0.9773E+00  0.3375E-02
  0.1515E+01  0.9991E+00  0.2838E-02
  0.1553E+01  0.1020E+01  0.2352E-02
  0.1592E+01  0.1039E+01  0.1996E-02
  0.1631E+01  0.1058E+01  0.1874E-02
  0.1670E+01  0.1075E+01  0.2039E-02
  0.1709E+01  0.1091E+01  0.2426E-02
  0.1748E+01  0.1106E+01  0.2936E-02
  0.1786E+01  0.1119E+01  0.3493E-02
  0.1825E+01  0.1132E+01  0.4055E-02
  0.1864E+01  0.1142E+01  0.4594E-02
  0.1903E+01  0.1152E+01  0.5092E-02
  0.1942E+01  0.1160E+01  0.5537E-02
  0.1981E+01  0.1166E+01  0.5919E-02
  0.2019E+01  0.1171E+01  0.6229E-02
  0.2058E+01  0.1175E+01  0.6463E-02
  0.2097E+01  0.1177E+01  0.6617E-02
  0.2136E+01  0.1178E+01  0.6689E-02
  0.2175E+01  0.1178E+01  0.6678E-02
  0.2214E+01  0.1177E+01  0.6585E-02
  0.2252E+01  0.1174E+01  0.6413E-02
  0.2291E+01  0.1170E+01  0.6167E-02
  0.2330E+01  0.1165E+01  0.5854E-02
  0.2369E+01  0.1158E+01  0.5481E-02
  0.2408E+01  0.1151E+01  0.5061E-02
  0.2447E+01  0.1142E+01  0.4609E-02
  0.2486E+01  0.1133E+01  0.4143E-02
  0.2524E+01  0.1123E+01  0.3691E-02
  0.2563E+01  0.1112E+01  0.3290E-02
  0.2602E+01  0.1100E+01  0.2986E-02
  0.2641E+01  0.1087E+01  0.2828E-02
  0.2680E+01  0.1074E+01  0.2851E-02
  0.2719E+01  0.1060E+01  0.3046E-02
  0.2757E+01  0.1046E+01  0.3374E-02
  0.2796E+01  0.1032E+01  0.3784E-02
  0.2835E+01  0.1017E+01  0.4231E-02
  0.2874E+01  0.1001E+01  0.4682E-02
  0.2913E+01  0.9860E+00  0.5113E-02
  0.2952E+01  0.9705E+00  0.5507E-02
  0.2990E+01  0.9548E+00  0.5851E-02
  0.3029E+01  0.9391E+00  0.6134E-02
  0.3068E+01  0.9234E+00  0.6352E-02
  0.3107E+01  0.9078E+00  0.6498E-02
  0.3146E+01  0.8923E+00  0.6571E-02
  0.3185E+01  0.8770E+00  0.6570E-02
  0.3223E+01  0.8618E+00  0.6497E-02
  0.3262E+01  0.8469E+00  0.6356E-02
  0.3301E+01  0.8323E+00  0.6154E-02
  0.3340E+01  0.8179E+00  0.5900E-02
  0.3379E+01  0.8039E+00  0.5605E-02
  0.3418E+01  0.7901E+00  0.5287E-02
  0.3456E+01  0.7768E+00  0.4965E-02
