@s0 legend "1"
0.03082862 607.71496571   2.07053941
0.03557149 1175.562         3.23071887
0.04031435 1142.02101429    7.76681977
0.04505722 889.40629143   2.94016695
0.04980008 605.28229      1.70752101
0.05454295 432.38154214   1.09735577
0.05928581 314.24688071   0.85184454
0.06402868 244.85952286   0.59773871
0.06877154 195.98256429   0.47063523
0.07351441 159.40384929   0.36108627
0.07825728 131.68096286   0.29084232
0.08300014 111.49936286   0.24347403
0.08774301 96.32049257  0.21858778
0.09248587 84.89873907  0.15757039
0.09722874 74.92099879  0.1396674 
0.1019716 67.16975764  0.07586211
0.1067145 62.03030393  0.09454747
0.1114573 56.79495407  0.07162281
0.1162002 52.60331607  0.08413263
0.1209431 49.47666893  0.09534462
0.1256859 47.096427   0.0810414
0.1304288 44.63039421  0.06248745
0.1351717 42.48110307  0.06267369
0.1399145 40.57087193  0.05711554
0.1446574 38.96825629  0.05578632
0.1494003 3.75575789e+01 3.62579461e-02
0.1541431 36.51581421  0.04279642
0.158886 35.46092771  0.04343589
0.1636288 34.5401985   0.03532513
0.1683717 33.68725029  0.04692699
0.1731146 32.87647329  0.04591008
0.1778574 32.11524207  0.05134217
0.1826003 3.15508879e+01 2.53979547e-02
0.1873432 3.10342623e+01 2.86882210e-02
0.192086 3.05254011e+01 2.86132737e-02
0.1968289 3.00918689e+01 2.58899134e-02
0.2015718 29.70230071  0.04156085
0.2063146 29.32363979  0.03420484
0.2110575 2.90129492e+01 2.30217019e-02
0.2158004 2.86810123e+01 2.73784790e-02
0.2205432 2.83602451e+01 2.57086513e-02
0.2252861 28.10971436  0.03424983
0.230029 2.78997441e+01 2.48215776e-02
0.2347718 27.66778486  0.03229781
0.2395147 27.51145157  0.02832319
0.2442576 27.34533236  0.02742523
0.2490004 27.13075936  0.02856386
0.2537433 2.69958686e+01 1.94169484e-02
0.2584862 26.80455679  0.02698783
0.263229 26.63459436  0.02778537
0.2679719 26.4981      0.02844962
0.2727147 26.300978    0.03235674
0.2774576 26.196555    0.03022614
0.2822005 2.60863700e+01 1.61050771e-02
0.2869433 25.970681   0.0262203
0.2916862 25.8754435   0.02678089
0.2964291 25.79984743  0.02981446
0.3011719 2.57357349e+01 1.82674286e-02
0.3059148 2.56312479e+01 2.52751564e-02
0.3106577 2.55704456e+01 1.91121783e-02
0.3154005 2.55063609e+01 2.45918775e-02
0.3201434 25.43631193  0.03356283
0.3248863 2.53758946e+01 2.22934263e-02
0.3296291 25.25890079  0.02566733
0.334372 25.31963286  0.02559672
0.3391149 2.53089380e+01 2.37463241e-02
0.3438577 2.53674729e+01 2.45950910e-02
0.3486006 25.23815171  0.02801969
0.3533435 25.1903825   0.02875795
0.3580863 2.50877505e+01 2.29885403e-02
0.3628292 2.50825153e+01 2.28246801e-02
0.367572 2.50022287e+01 2.03204174e-02
0.3723149 25.03002336  0.03046638
0.3770578 2.49602188e+01 2.00575885e-02
0.3818006 24.95603936  0.02656783
0.3865435 24.88658929  0.02777105
0.3912864 2.48696839e+01 2.19236617e-02
0.3960292 2.49138966e+01 2.00765572e-02
0.4007721 24.95773629  0.03183469
0.405515 24.98884564  0.03796885
0.4102578 24.9072925   0.02711693
0.4150007 24.836239    0.03552351
0.4197436 24.86518507  0.03287012
0.4244864 24.83987314  0.03798109
0.4292293 2.47974358e+01 2.06016066e-02
0.4339722 24.7662175   0.03022485
0.438715 24.82042286  0.03100533
0.4434579 24.76555464  0.0403879 
0.4482008 24.69156143  0.02992071
0.4529436 24.67231171  0.03777054
0.4576865 24.662562    0.03987526
0.4624294 24.69570279  0.02883916
0.4671722 24.76617614  0.03983244
0.4719151 24.808734    0.03534421
0.4766579 24.7519815   0.02883725
0.4814008 2.47022960e+01 2.44359754e-02
0.4861437 24.73594671  0.03925977
0.4908865 24.682487    0.02974107
0.4956294 24.64039536  0.03606738
0.5003723 24.63098007  0.0287847 
0.5051151 24.67106471  0.02598293
0.509858 24.59828257  0.02680012
0.5146009 2.46155741e+01 1.89516094e-02
0.5193437 24.64039057  0.03441155
0.5240866 2.46425561e+01 1.98607760e-02
0.5288295 2.45776231e+01 2.45703259e-02
0.5335723 24.52944807  0.03975537
0.5383152 24.47997086  0.03429279
0.5430581 24.45210621  0.0317531 
0.5478009 24.53031243  0.02572354
0.5525438 24.51761293  0.02850137
0.5572867 24.49875143  0.03330261
0.5620295 24.47229486  0.02703093
0.5667724 2.44982346e+01 2.10733543e-02
0.5715152 24.44837271  0.02629896
0.5762581 24.49577736  0.02569815
0.581001 24.49201057  0.03201481
0.5857438 2.44927557e+01 2.17557518e-02
0.5904867 24.38823986  0.03007433
0.5952296 24.39010707  0.02803828
0.5999724 24.40730357  0.02985941
0.6047153 24.38892729  0.02737195
0.6094582 2.43771681e+01 1.88857325e-02
0.614201 24.36528493  0.02823259
0.6189439 24.33606714  0.02490597
0.6236868 2.43662680e+01 2.18528036e-02
0.6284296 24.42306171  0.0296061 
0.6331725 24.37795643  0.03143178
0.6379154 24.36302879  0.03285994
0.6426582 24.38399514  0.02655474
0.6474011 2.43823886e+01 2.11805166e-02
0.652144 24.39645221  0.03037602
0.6568868 24.3857225   0.02916198
0.6616297 24.34446886  0.03493102
0.6663726 2.43394564e+01 2.19637745e-02
0.6711154 24.32422436  0.02875189
0.6758583 2.43169133e+01 2.37089008e-02
0.6806011 24.35421757  0.0265857 
0.685344 24.30896779  0.02570101
0.6900869 24.30410421  0.02508855
0.6948297 24.33168486  0.02940573
0.6995726 24.38876043  0.02764852
0.7043155 24.32630036  0.02620417
0.7090583 2.43292853e+01 2.26259675e-02
0.7138012 24.27392921  0.02874629
0.7185441 24.25661529  0.02656685
0.7232869 24.29313014  0.02715959
0.7280298 24.27169721  0.03049146
0.7327727 24.26785507  0.03247933
0.7375155 24.30696393  0.02558183
0.7422584 2.42875535e+01 2.31311579e-02
0.7470013 2.42688775e+01 2.28808801e-02
0.7517441 2.42651355e+01 2.23281465e-02
0.756487 2.42378047e+01 1.62296497e-02
0.7612299 2.42609234e+01 2.15621404e-02
0.7659727 24.31618343  0.02786842
0.7707156 2.42887092e+01 2.26568791e-02
0.7754585 24.27350086  0.02770259
0.7802013 24.28105014  0.02941049
0.7849442 2.42695369e+01 2.38373767e-02
0.789687 24.21030693  0.02828433
0.7944299 24.19864636  0.03505102
0.7991728 2.42217113e+01 2.11228004e-02
0.8039156 24.1990095   0.02659218
0.8086585 2.42610507e+01 2.29789544e-02
0.8134014 2.41855858e+01 2.14788728e-02
0.8181442 24.18422286  0.02794944
0.8228871 24.18335429  0.03512921
0.82763 24.18902993  0.03079983
0.8323728 2.41251004e+01 1.90694347e-02
0.8371157 24.24298029  0.02960776
0.8418586 24.22114771  0.02849674
0.8466014 24.18435779  0.04066973
0.8513443 2.42155891e+01 2.26022215e-02
0.8560872 24.16535     0.03691166
0.86083 2.42075007e+01 2.38566097e-02
0.8655729 24.15561593  0.0300223 
0.8703158 24.17944     0.02703689
0.8750586 24.160717  0.034959
0.8798015 24.18946421  0.03032408
0.8845443 24.16168929  0.03305438
0.8892872 2.41367470e+01 2.01110615e-02
0.8940301 24.181174    0.02474814
0.8987729 24.151553    0.02669556
0.9035158 2.41036994e+01 2.20181990e-02
0.9082587 2.41181671e+01 1.40435815e-02
0.9130015 2.41316260e+01 2.37849095e-02
0.9177444 2.41174090e+01 2.30025472e-02
0.9224873 2.41890838e+01 2.21192963e-02
0.9272301 2.41620495e+01 2.26931794e-02
0.931973 24.0912645   0.02746335
0.9367159 24.11966043  0.02941524
0.9414587 2.41057321e+01 2.37875439e-02
0.9462016 2.41251001e+01 2.16201086e-02
0.9509445 24.07784964  0.02510067
0.9556873 24.08734629  0.03296036
0.9604302 24.06293621  0.02521744
0.9651731 2.40577204e+01 2.04684860e-02
0.9699159 2.41028038e+01 2.20493289e-02
0.9746588 24.10414836  0.02606436
0.9794017 24.0763625  0.0251719
0.9841445 24.05190829  0.02809325
0.9888874 2.40643340e+01 2.35850534e-02
0.9936302 2.40994554e+01 2.30713294e-02
0.9983731 24.07040357  0.02731001
1.003116 24.02489129  0.0246306 
1.007859 24.06644171  0.02885945
1.012602 2.40949461e+01 2.12397836e-02
1.017345 24.07243671  0.02831247
1.022087 2.40585268e+01 2.28948342e-02
1.02683 24.04822143  0.02792125
1.031573 24.03682336  0.02784077
1.036316 23.98900071  0.0283359 
1.041059 24.032083    0.02856874
1.045802 2.40450309e+01 2.19889371e-02
1.050545 24.06659307  0.02412238
1.055287 2.40324551e+01 1.57018328e-02
1.06003 2.40445961e+01 2.00542967e-02
1.064773 2.40202926e+01 1.33569639e-02
1.069516 24.04623043  0.02725276
1.074259 24.01209457  0.03149024
1.079002 2.40190346e+01 1.87565905e-02
1.083745 24.02190507  0.02457717
1.088488 2.40192002e+01 1.83680171e-02
1.09323 2.40247721e+01 1.15762168e-02
1.097973 23.98701186  0.02794914
1.102716 24.00097179  0.02798053
1.107459 2.40101380e+01 2.11137313e-02
1.112202 2.39724485e+01 1.63464311e-02
1.116945 2.39549614e+01 2.22382751e-02
1.121688 23.98167086  0.02765579
1.12643 2.39386576e+01 1.78575597e-02
1.131173 2.39714209e+01 2.03436777e-02
1.135916 2.39594496e+01 2.24224285e-02
1.140659 2.3954646e+01 2.1508540e-02
1.145402 23.98729343  0.0288282 
1.150145 2.39563344e+01 1.98106287e-02
1.154888 2.39590767e+01 2.16861610e-02
1.159631 2.39455095e+01 1.67257695e-02
1.164373 2.39668946e+01 2.26620205e-02
1.169116 2.39751899e+01 1.81013530e-02
1.173859 2.39776611e+01 2.18070527e-02
1.178602 2.39877424e+01 2.02133294e-02
1.183345 23.932687    0.02566432
1.188088 23.91578529  0.03050333
1.192831 2.39270651e+01 2.18372281e-02
1.197573 2.39319474e+01 1.98839774e-02
1.202316 2.39587348e+01 2.24576721e-02
1.207059 2.40713426e+01 2.11345323e-02
1.211802 2.40997471e+01 2.26392486e-02
1.216545 24.00809643  0.02817519
1.221288 2.39660746e+01 1.23458960e-02
1.226031 23.9387255   0.02912675
1.230774 2.39147813e+01 2.21181512e-02
1.235516 23.943411    0.02489148
1.240259 23.93406114  0.02660863
1.245002 23.9607015  0.0243483
1.249745 2.39312739e+01 2.10246278e-02
1.254488 23.87892843  0.03413544
1.259231 23.85230486  0.03258279
1.263974 2.38461015e+01 2.29479683e-02
1.268716 23.86725429  0.02435897
1.273459 2.40038189e+01 2.13970929e-02
1.278202 2.41378470e+01 1.38620301e-02
1.282945 2.40441605e+01 2.24355109e-02
1.287688 24.04800779  0.02627971
1.292431 2.39967423e+01 1.99887865e-02
1.297174 23.99831364  0.02844913
1.301916 2.39649121e+01 2.02630380e-02
1.306659 23.96848164  0.02765579
1.311402 2.39868253e+01 1.94226283e-02
1.316145 2.39865859e+01 1.81093427e-02
1.320888 23.99217429  0.03213893
1.325631 2.39636826e+01 1.89834111e-02
1.330374 2.39296404e+01 1.53223796e-02
1.335117 2.39269539e+01 2.29673465e-02
1.339859 2.39511285e+01 2.25458288e-02
1.344602 2.39476719e+01 1.94670702e-02
1.349345 2.39606260e+01 1.96504419e-02
1.354088 23.94016929  0.02760832
1.358831 23.94167707  0.02664504
1.363574 23.961308    0.02472579
1.368317 23.94517057  0.0250425 
1.373059 2.39053162e+01 1.22360813e-02
1.377802 2.39211409e+01 1.81225616e-02
1.382545 2.39228066e+01 1.86213198e-02
1.387288 2.39018396e+01 2.02067847e-02
1.392031 2.39158335e+01 1.55883196e-02
1.396774 2.39048671e+01 1.88251322e-02
1.401517 2.39439639e+01 2.23047932e-02
1.40626 2.39120607e+01 1.98004775e-02
1.411002 2.39146072e+01 2.17798562e-02
1.415745 2.38976984e+01 2.16874147e-02
1.420488 2.39021272e+01 1.76976531e-02
1.425231 23.8787905   0.02650406
1.429974 2.38883587e+01 2.17482312e-02
1.434717 2.38484973e+01 1.60421836e-02
1.43946 2.38974988e+01 1.41185280e-02
1.444202 2.39176737e+01 2.30686697e-02
1.448945 2.38909013e+01 2.34869552e-02
1.453688 23.87442293  0.02952453
1.458431 23.91082307  0.02499789
1.463174 23.86405314  0.02906807
1.467917 2.38771465e+01 2.00911615e-02
1.47266 23.89129786  0.02401923
1.477402 2.38875678e+01 2.07490479e-02
1.482145 2.39126341e+01 1.85910123e-02
1.486888 2.38983212e+01 1.53265726e-02
1.491631 2.38780863e+01 1.86546896e-02
1.496374 2.38866469e+01 2.10820495e-02
1.501117 2.39607094e+01 1.50325574e-02
1.50586 2.40493699e+01 1.80809627e-02
1.510603 2.39736514e+01 2.24978245e-02
1.515345 2.39448444e+01 1.77299812e-02
1.520088 23.87527857  0.02757503
1.524831 2.39059634e+01 1.43028342e-02
1.529574 2.39233289e+01 1.44046757e-02
1.534317 2.41128711e+01 1.41392600e-02
1.53906 2.40569689e+01 1.98693987e-02
1.543803 23.97740114  0.02984199
1.548545 2.39558848e+01 1.70498045e-02
1.553288 2.39490596e+01 2.23303168e-02
1.558031 2.39366176e+01 2.13041900e-02
1.562774 23.89958257  0.02404657
1.567517 2.38920620e+01 1.54353649e-02
1.57226 2.38820406e+01 2.09884624e-02
1.577003 2.39108051e+01 1.65761061e-02
1.581746 2.38576296e+01 1.62111350e-02
1.586488 2.38561012e+01 2.18537374e-02
1.591231 2.38738829e+01 2.10454154e-02
1.595974 2.38657116e+01 2.24148071e-02
1.600717 2.38436953e+01 2.07406680e-02
1.60546 2.38805624e+01 2.18288952e-02
1.610203 2.38786309e+01 1.18192070e-02
1.614946 2.38328326e+01 1.23937720e-02
1.619688 2.38862854e+01 1.80194496e-02
1.624431 2.39096896e+01 2.24681445e-02
1.629174 23.8630855  0.0265236
1.633917 2.38634424e+01 1.61980385e-02
1.63866 2.3867023e+01 2.2414813e-02
1.643403 2.38407229e+01 1.64159306e-02
1.648146 23.8633835   0.02789176
1.652889 23.84625914  0.02517366
1.657631 23.84346036  0.0242584 
1.662374 2.38123515e+01 1.80091403e-02
1.667117 2.38383045e+01 1.74401466e-02
1.67186 2.38102657e+01 1.73635729e-02
1.676603 2.37954455e+01 2.19693765e-02
1.681346 23.83273786  0.028899  
1.686089 2.38216158e+01 1.90296986e-02
1.690831 2.38454449e+01 1.58889175e-02
1.695574 23.82376771  0.02544255
1.700317 2.38368801e+01 2.06701398e-02
1.70506 2.38542964e+01 2.12792352e-02
1.709803 2.37914596e+01 2.09235198e-02
1.714546 2.38205589e+01 2.28675817e-02
1.719289 2.38170398e+01 2.27267991e-02
1.724031 2.38199237e+01 2.10721894e-02
1.728774 2.37921252e+01 1.74440382e-02
1.733517 2.38217079e+01 1.95208898e-02
1.73826 2.37835718e+01 1.70399339e-02
1.743003 2.37657058e+01 1.97823253e-02
1.747746 23.79079736  0.02456011
1.752489 2.38000289e+01 1.34990024e-02
1.757232 23.78018814  0.024704  
1.761974 2.38246158e+01 1.87124151e-02
1.766717 2.37923879e+01 1.46835743e-02
1.77146 2.37886593e+01 2.30209508e-02
1.776203 2.37961300e+01 1.37350786e-02
1.780946 2.37855996e+01 2.12384368e-02
1.785689 2.37866798e+01 1.55846596e-02
1.790432 2.3776124e+01 1.8359949e-02
1.795174 2.37775388e+01 2.31869001e-02
1.799917 2.37984254e+01 1.63344628e-02
1.80466 2.37355226e+01 1.60289969e-02
1.809403 2.37685615e+01 1.64057148e-02
1.814146 2.37463246e+01 2.33707716e-02
1.818889 2.37268647e+01 1.55343434e-02
1.823632 2.37328651e+01 1.48989320e-02
1.828375 2.37590479e+01 1.44184755e-02
1.833117 2.37622136e+01 1.35891891e-02
1.83786 2.37755096e+01 2.04381379e-02
1.842603 23.77201207  0.02622203
1.847346 2.37539991e+01 2.05641573e-02
1.852089 2.37151223e+01 1.81222420e-02
1.856832 2.37322962e+01 1.62625696e-02
1.861575 2.37222011e+01 2.15233997e-02
1.866317 23.76918821  0.02449104
1.87106 2.37510804e+01 1.45723267e-02
1.875803 2.37172771e+01 9.33238724e-03
1.880546 2.37155714e+01 1.83599545e-02
1.885289 2.37160578e+01 1.72587146e-02
1.890032 2.37003387e+01 1.68018779e-02
1.894775 2.37098137e+01 1.52404664e-02
1.899517 2.37143985e+01 1.55306135e-02
1.90426 2.37076088e+01 2.09513416e-02
1.909003 2.36913428e+01 1.34423431e-02
1.913746 2.37086268e+01 1.89348248e-02
1.918489 2.37016202e+01 2.18011381e-02
1.923232 2.37070046e+01 2.19075913e-02
1.927975 23.70715971  0.02538752
1.932718 2.36818454e+01 1.91265932e-02
1.93746 2.36671032e+01 1.66687027e-02
1.942203 2.36899795e+01 2.17594743e-02
1.946946 2.37147957e+01 1.57594937e-02
1.951689 2.36974023e+01 1.74471178e-02
1.956432 2.36633557e+01 1.97417626e-02
1.961175 2.36521937e+01 2.14982048e-02
1.965918 23.67540114  0.02374269
1.97066 2.36586732e+01 1.88988511e-02
1.975403 2.36436489e+01 1.67030224e-02
1.980146 2.36388659e+01 1.91963513e-02
1.984889 2.36305581e+01 1.72392438e-02
1.989632 2.36479076e+01 1.98803694e-02
1.994375 2.36502196e+01 1.11598479e-02
1.999118 2.36230146e+01 1.64289594e-02
2.003861 2.36842953e+01 1.67659874e-02
2.008603 2.37162866e+01 2.12536118e-02
2.013346 2.38358079e+01 1.81490004e-02
2.018089 2.37285311e+01 1.60696358e-02
2.022832 2.37067267e+01 2.17415647e-02
2.027575 2.36844001e+01 2.31741909e-02
2.032318 2.36518884e+01 2.23348523e-02
2.037061 2.36112097e+01 1.60799239e-02
2.041803 2.36174446e+01 1.94095111e-02
2.046546 2.35572416e+01 2.31217113e-02
2.051289 2.35487638e+01 2.11880678e-02
2.056032 2.35608043e+01 2.12361018e-02
2.060775 2.35558860e+01 2.04190867e-02
2.065518 2.35556419e+01 1.68349647e-02
2.070261 2.35602659e+01 1.99344361e-02
2.075003 2.35216581e+01 1.63493782e-02
2.079746 2.37355851e+01 1.73049530e-02
2.084489 2.37237169e+01 1.81904993e-02
2.089232 2.36860933e+01 2.24711295e-02
2.093975 2.36594264e+01 2.00951590e-02
2.098718 2.36606809e+01 1.52139461e-02
2.103461 2.36516569e+01 2.28778216e-02
