@s0 legend "1"
0.03082862 611.80123421   0.79250864
0.03557149 1.1909988e+03 1.1718660e+00
0.04031435 1.15642033e+03 1.14557641e+00
0.04505722 907.53269458   1.07892913
0.04980008 618.30094673   0.71156337
0.05454295 441.97622084   0.5023987 
0.05928581 321.41872336   0.35925126
0.06402868 250.49478981   0.26267619
0.06877154 2.00924974e+02 1.99574728e-01
0.07351441 1.63574144e+02 1.57214905e-01
0.07825728 1.35311730e+02 1.26155948e-01
0.08300014 1.14748891e+02 1.00517320e-01
0.08774301 9.93234326e+01 8.76547455e-02
0.09248587 8.75565019e+01 7.56499057e-02
0.09722874 7.76383516e+01 6.11591011e-02
0.1019716 6.95282870e+01 4.99552304e-02
0.1067145 6.42408926e+01 4.12062729e-02
0.1114573 5.89794216e+01 3.45676643e-02
0.1162002 5.45707356e+01 3.37729600e-02
0.1209431 5.13487786e+01 2.74764417e-02
0.1256859 4.89142539e+01 2.51484433e-02
0.1304288 4.64965956e+01 2.66566360e-02
0.1351717 4.43232981e+01 2.28955167e-02
0.1399145 4.23994348e+01 2.09673339e-02
0.1446574 4.07275252e+01 1.85797890e-02
0.1494003 3.93500761e+01 1.96528294e-02
0.1541431 3.83279103e+01 2.02164264e-02
0.158886 3.72404936e+01 2.05269323e-02
0.1636288 3.62325247e+01 1.66928676e-02
0.1683717 3.53614245e+01 1.62884666e-02
0.1731146 3.46091453e+01 1.53222760e-02
0.1778574 3.38940001e+01 1.48634865e-02
0.1826003 3.32602545e+01 1.66364342e-02
0.1873432 3.26684668e+01 1.29615547e-02
0.192086 3.22151302e+01 1.39822957e-02
0.1968289 3.17752934e+01 1.28989619e-02
0.2015718 3.13877702e+01 1.32391627e-02
0.2063146 3.09994470e+01 1.33540138e-02
0.2110575 3.06426737e+01 1.36244551e-02
0.2158004 3.03542330e+01 1.32492472e-02
0.2205432 3.00676676e+01 1.19042205e-02
0.2252861 2.98316984e+01 1.31584387e-02
0.230029 2.95927070e+01 1.25540831e-02
0.2347718 2.93993069e+01 1.06373649e-02
0.2395147 2.91750281e+01 1.13287820e-02
0.2442576 2.90025963e+01 1.17402330e-02
0.2490004 2.88316953e+01 1.11455287e-02
0.2537433 2.86367752e+01 1.17683102e-02
0.2584862 2.84534023e+01 1.15584365e-02
0.263229 2.83220694e+01 1.02241255e-02
0.2679719 2.81646029e+01 1.09215171e-02
0.2727147 2.80326846e+01 1.14903743e-02
0.2774576 2.79329125e+01 9.39133279e-03
0.2822005 2.78210410e+01 1.03267231e-02
0.2869433 2.76766677e+01 1.02293210e-02
0.2916862 2.75520131e+01 1.00576471e-02
0.2964291 2.74618600e+01 1.01181351e-02
0.3011719 2.73800162e+01 8.66793930e-03
0.3059148 2.73049871e+01 1.04962227e-02
0.3106577 2.72265168e+01 9.60687928e-03
0.3154005 2.71487727e+01 9.99696914e-03
0.3201434 2.70954655e+01 9.52384931e-03
0.3248863 2.70355494e+01 9.85019045e-03
0.3296291 2.69921402e+01 9.34927083e-03
0.334372 2.70004784e+01 9.69327766e-03
0.3391149 2.70053126e+01 9.91784493e-03
0.3438577 2.70007477e+01 8.92674930e-03
0.3486006 2.69256549e+01 9.49662576e-03
0.3533435 2.68673404e+01 1.03045119e-02
0.3580863 2.67894668e+01 1.00515625e-02
0.3628292 2.67288188e+01 1.06118578e-02
0.367572 2.67180778e+01 1.05007599e-02
0.3723149 2.66697091e+01 9.50197358e-03
0.3770578 2.66380328e+01 9.04399327e-03
0.3818006 2.65936600e+01 1.06616103e-02
0.3865435 2.65666253e+01 1.03923924e-02
0.3912864 2.65352770e+01 1.19551781e-02
0.3960292 2.65133984e+01 1.13397152e-02
0.4007721 2.66140939e+01 1.19058868e-02
0.405515 2.66026941e+01 1.06409463e-02
0.4102578 2.65557872e+01 1.12721256e-02
0.4150007 2.65463283e+01 1.24687789e-02
0.4197436 2.64906798e+01 1.11480286e-02
0.4244864 2.64635630e+01 1.25523798e-02
0.4292293 2.64412447e+01 1.25654792e-02
0.4339722 2.64282145e+01 1.36088291e-02
0.438715 2.64451254e+01 1.35636727e-02
0.4434579 2.64102643e+01 1.29038541e-02
0.4482008 2.63623462e+01 1.23493892e-02
0.4529436 2.63551872e+01 1.34051587e-02
0.4576865 2.63463231e+01 1.33703959e-02
0.4624294 2.63455637e+01 1.29594654e-02
0.4671722 2.64254328e+01 1.15355000e-02
0.4719151 2.65664998e+01 1.18028199e-02
0.4766579 2.64633425e+01 1.33617109e-02
0.4814008 2.64061047e+01 1.20099916e-02
0.4861437 2.63728292e+01 1.16455340e-02
0.4908865 2.63357204e+01 1.11279911e-02
0.4956294 2.63130031e+01 1.20901521e-02
0.5003723 2.63062706e+01 1.26452445e-02
0.5051151 2.63010015e+01 1.11177397e-02
0.509858 2.62522451e+01 1.18024852e-02
0.5146009 2.62365631e+01 1.24332884e-02
0.5193437 2.62290533e+01 1.18532203e-02
0.5240866 2.62133562e+01 1.23762017e-02
0.5288295 2.61912302e+01 1.29209092e-02
0.5335723 2.61493036e+01 1.17168537e-02
0.5383152 2.61528561e+01 1.20375906e-02
0.5430581 2.61191956e+01 1.21358839e-02
0.5478009 2.61293904e+01 1.28997496e-02
0.5525438 2.61157126e+01 9.35939581e-03
0.5572867 2.61226068e+01 1.12657208e-02
0.5620295 2.60948683e+01 1.14460420e-02
0.5667724 2.60700018e+01 1.03595488e-02
0.5715152 2.60616452e+01 9.92689153e-03
0.5762581 2.60853289e+01 9.59854452e-03
0.581001 2.61125613e+01 1.15315576e-02
0.5857438 2.60721727e+01 1.16115702e-02
0.5904867 2.60390048e+01 1.01696855e-02
0.5952296 2.60255873e+01 9.82799441e-03
0.5999724 2.60419906e+01 1.05682207e-02
0.6047153 2.60277666e+01 1.12257304e-02
0.6094582 2.60287660e+01 1.06693198e-02
0.614201 2.60052699e+01 1.08427436e-02
0.6189439 2.60276497e+01 1.21095950e-02
0.6236868 2.60074925e+01 1.18938970e-02
0.6284296 2.60101391e+01 1.00334635e-02
0.6331725 2.60110715e+01 1.16415194e-02
0.6379154 2.59718141e+01 1.02882383e-02
0.6426582 2.59773519e+01 1.12746012e-02
0.6474011 2.59756511e+01 1.08937232e-02
0.652144 2.59802044e+01 1.01151981e-02
0.6568868 2.59610074e+01 1.14721387e-02
0.6616297 2.59431614e+01 9.90420399e-03
0.6663726 2.59456728e+01 1.12257452e-02
0.6711154 2.59380530e+01 1.08647134e-02
0.6758583 2.59307237e+01 1.07930534e-02
0.6806011 2.59369100e+01 9.21070826e-03
0.685344 2.59371038e+01 1.07634450e-02
0.6900869 2.59245260e+01 1.07465022e-02
0.6948297 2.59014834e+01 1.19409365e-02
0.6995726 2.59273343e+01 1.05406968e-02
0.7043155 2.59025081e+01 1.15965804e-02
0.7090583 2.59191491e+01 9.43179621e-03
0.7138012 2.58961252e+01 1.06041609e-02
0.7185441 2.58923746e+01 9.67887836e-03
0.7232869 2.58860817e+01 9.91864452e-03
0.7280298 2.58759103e+01 1.07686950e-02
0.7327727 2.58845982e+01 1.19415951e-02
0.7375155 2.58817468e+01 9.47175525e-03
0.7422584 2.58917285e+01 9.45478018e-03
0.7470013 2.58719219e+01 1.00440893e-02
0.7517441 2.58599632e+01 9.22965088e-03
0.756487 2.58492810e+01 1.01746731e-02
0.7612299 2.58677789e+01 8.97644866e-03
0.7659727 2.58567386e+01 1.04261285e-02
0.7707156 2.58437237e+01 1.06680200e-02
0.7754585 2.58468253e+01 1.04444281e-02
0.7802013 2.58574131e+01 1.08915375e-02
0.7849442 2.58647342e+01 1.09070160e-02
0.789687 2.58274495e+01 1.00491011e-02
0.7944299 2.57981984e+01 1.02593587e-02
0.7991728 2.58111291e+01 9.82784641e-03
0.8039156 2.57946395e+01 1.13251883e-02
0.8086585 2.58290787e+01 1.08992772e-02
0.8134014 2.58229524e+01 1.04069873e-02
0.8181442 2.58300609e+01 9.59200625e-03
0.8228871 2.5829100e+01 1.0122144e-02
0.82763 2.58031182e+01 1.04158644e-02
0.8323728 2.57663459e+01 9.66941109e-03
0.8371157 2.57839001e+01 1.06151990e-02
0.8418586 2.58068792e+01 1.03536195e-02
0.8466014 2.57668941e+01 9.36595575e-03
0.8513443 2.57856050e+01 1.03860539e-02
0.8560872 2.57690229e+01 1.00875464e-02
0.86083 2.57728670e+01 8.75702753e-03
0.8655729 2.57612635e+01 9.92588358e-03
0.8703158 2.57659328e+01 1.01293473e-02
0.8750586 2.57753319e+01 8.24990882e-03
0.8798015 2.5752294e+01 1.0095548e-02
0.8845443 2.57396649e+01 1.11412976e-02
0.8892872 2.57463578e+01 1.04498743e-02
0.8940301 2.57358422e+01 9.62127569e-03
0.8987729 2.57209359e+01 9.74590292e-03
0.9035158 2.57290842e+01 8.71191810e-03
0.9082587 2.57050258e+01 9.18438223e-03
0.9130015 2.57186988e+01 9.30491512e-03
0.9177444 2.57018361e+01 1.07486222e-02
0.9224873 2.57069228e+01 1.02995328e-02
0.9272301 2.57091630e+01 1.12033372e-02
0.931973 2.57009525e+01 9.14902556e-03
0.9367159 2.56781919e+01 9.96325789e-03
0.9414587 2.56883835e+01 9.29315617e-03
0.9462016 2.56995806e+01 9.43886805e-03
0.9509445 2.56783795e+01 9.72794423e-03
0.9556873 2.56524879e+01 9.69878935e-03
0.9604302 2.56719682e+01 9.36714473e-03
0.9651731 2.56680041e+01 9.36841093e-03
0.9699159 2.56821215e+01 9.66529701e-03
0.9746588 2.56648076e+01 8.72757911e-03
0.9794017 2.56584711e+01 9.36217283e-03
0.9841445 2.56357580e+01 9.76029765e-03
0.9888874 2.56327125e+01 9.11932616e-03
0.9936302 2.56234172e+01 9.67207213e-03
0.9983731 2.56461504e+01 1.02389585e-02
1.003116 2.56167895e+01 1.04546764e-02
1.007859 2.56102066e+01 9.16964331e-03
1.012602 2.56295843e+01 9.78857228e-03
1.017345 2.56046284e+01 8.90634746e-03
1.022087 2.56016332e+01 9.76521965e-03
1.02683 2.55979298e+01 9.53825531e-03
1.031573 2.55877954e+01 9.10996444e-03
1.036316 2.55705855e+01 8.79596211e-03
1.041059 2.55910734e+01 9.24732017e-03
1.045802 2.55998328e+01 9.11306809e-03
1.050545 2.55938006e+01 9.87141613e-03
1.055287 2.55730966e+01 9.82195241e-03
1.06003 2.55829972e+01 8.36603851e-03
1.064773 2.55832002e+01 9.75411020e-03
1.069516 2.55770386e+01 9.84440107e-03
1.074259 2.55586472e+01 8.97978785e-03
1.079002 2.55684098e+01 8.72380408e-03
1.083745 2.55914835e+01 9.15889439e-03
1.088488 2.55665631e+01 8.95701323e-03
1.09323 2.55395063e+01 9.92591959e-03
1.097973 2.55354942e+01 8.39266080e-03
1.102716 2.55622480e+01 1.00244242e-02
1.107459 2.55426664e+01 9.32096844e-03
1.112202 2.55499259e+01 8.33886967e-03
1.116945 2.55450830e+01 9.96158162e-03
1.121688 2.55191149e+01 9.67360602e-03
1.12643 2.55370671e+01 1.05354337e-02
1.131173 2.55183197e+01 9.59278646e-03
1.135916 2.55061330e+01 8.83616542e-03
1.140659 2.55113175e+01 9.89584871e-03
1.145402 2.54959684e+01 9.54162816e-03
1.150145 2.54933805e+01 9.18349291e-03
1.154888 2.55108033e+01 9.13920096e-03
1.159631 2.54931618e+01 8.77262757e-03
1.164373 2.55015303e+01 9.74717212e-03
1.169116 2.54916015e+01 9.37276354e-03
1.173859 2.54786586e+01 9.62165535e-03
1.178602 2.54926814e+01 9.07308020e-03
1.183345 2.54707557e+01 9.15441277e-03
1.188088 2.54777464e+01 8.50137935e-03
1.192831 2.54648870e+01 8.55257225e-03
1.197573 2.54696495e+01 9.10666807e-03
1.202316 2.55060361e+01 8.53875451e-03
1.207059 2.56316295e+01 9.05420718e-03
1.211802 2.55822408e+01 9.11060826e-03
1.216545 2.55261911e+01 1.00667657e-02
1.221288 2.55213314e+01 9.82354271e-03
1.226031 2.55046204e+01 9.28524935e-03
1.230774 2.54806171e+01 8.90309573e-03
1.235516 2.54820969e+01 1.07162748e-02
1.240259 2.54716587e+01 9.86516039e-03
1.245002 2.54577181e+01 1.04954601e-02
1.249745 2.54480273e+01 1.05405470e-02
1.254488 2.54087596e+01 9.81379854e-03
1.259231 2.53676266e+01 1.08697836e-02
1.263974 2.53687392e+01 1.05930142e-02
1.268716 2.53517166e+01 1.09447543e-02
1.273459 2.55165945e+01 1.01239798e-02
1.278202 2.56782412e+01 1.06784184e-02
1.282945 2.55667778e+01 9.40495384e-03
1.287688 2.55343064e+01 9.34747187e-03
