#       R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.7599E-01  0.2895E-01  0.4151E-03
  0.1520E+00  0.6039E-01  0.7115E-03
  0.2280E+00  0.9425E-01  0.8956E-03
  0.3040E+00  0.1304E+00  0.9776E-03
  0.3800E+00  0.1687E+00  0.9719E-03
  0.4559E+00  0.2089E+00  0.8979E-03
  0.5319E+00  0.2507E+00  0.7833E-03
  0.6079E+00  0.2938E+00  0.6701E-03
  0.6839E+00  0.3379E+00  0.6189E-03
  0.7599E+00  0.3827E+00  0.6777E-03
  0.8359E+00  0.4278E+00  0.8288E-03
  0.9119E+00  0.4727E+00  0.1021E-02
  0.9879E+00  0.5170E+00  0.1213E-02
  0.1064E+01  0.5604E+00  0.1383E-02
  0.1140E+01  0.6025E+00  0.1517E-02
  0.1216E+01  0.6428E+00  0.1606E-02
  0.1292E+01  0.6810E+00  0.1648E-02
  0.1368E+01  0.7167E+00  0.1647E-02
  0.1444E+01  0.7496E+00  0.1609E-02
  0.1520E+01  0.7794E+00  0.1545E-02
  0.1596E+01  0.8059E+00  0.1471E-02
  0.1672E+01  0.8289E+00  0.1406E-02
  0.1748E+01  0.8483E+00  0.1368E-02
  0.1824E+01  0.8639E+00  0.1371E-02
  0.1900E+01  0.8757E+00  0.1417E-02
  0.1976E+01  0.8836E+00  0.1497E-02
  0.2052E+01  0.8879E+00  0.1597E-02
  0.2128E+01  0.8885E+00  0.1700E-02
  0.2204E+01  0.8856E+00  0.1795E-02
  0.2280E+01  0.8795E+00  0.1872E-02
  0.2356E+01  0.8703E+00  0.1928E-02
  0.2432E+01  0.8583E+00  0.1964E-02
  0.2508E+01  0.8438E+00  0.1984E-02
  0.2584E+01  0.8272E+00  0.1996E-02
  0.2660E+01  0.8087E+00  0.2008E-02
  0.2736E+01  0.7886E+00  0.2030E-02
  0.2812E+01  0.7674E+00  0.2070E-02
  0.2888E+01  0.7453E+00  0.2130E-02
  0.2964E+01  0.7226E+00  0.2208E-02
  0.3040E+01  0.6996E+00  0.2299E-02
  0.3116E+01  0.6765E+00  0.2395E-02
  0.3192E+01  0.6537E+00  0.2488E-02
  0.3268E+01  0.6313E+00  0.2570E-02
  0.3344E+01  0.6094E+00  0.2637E-02
  0.3420E+01  0.5882E+00  0.2685E-02
  0.3496E+01  0.5678E+00  0.2714E-02
  0.3572E+01  0.5483E+00  0.2729E-02
  0.3648E+01  0.5296E+00  0.2734E-02
  0.3724E+01  0.5117E+00  0.2736E-02
  0.3800E+01  0.4947E+00  0.2742E-02
  0.3875E+01  0.4784E+00  0.2758E-02
  0.3951E+01  0.4628E+00  0.2788E-02
  0.4027E+01  0.4478E+00  0.2832E-02
  0.4103E+01  0.4333E+00  0.2886E-02
  0.4179E+01  0.4192E+00  0.2947E-02
  0.4255E+01  0.4053E+00  0.3006E-02
  0.4331E+01  0.3917E+00  0.3057E-02
  0.4407E+01  0.3781E+00  0.3094E-02
  0.4483E+01  0.3646E+00  0.3114E-02
  0.4559E+01  0.3510E+00  0.3113E-02
  0.4635E+01  0.3374E+00  0.3095E-02
  0.4711E+01  0.3236E+00  0.3061E-02
  0.4787E+01  0.3098E+00  0.3018E-02
  0.4863E+01  0.2959E+00  0.2973E-02
  0.4939E+01  0.2819E+00  0.2932E-02
  0.5015E+01  0.2679E+00  0.2905E-02
  0.5091E+01  0.2539E+00  0.2894E-02
  0.5167E+01  0.2401E+00  0.2902E-02
  0.5243E+01  0.2265E+00  0.2929E-02
  0.5319E+01  0.2131E+00  0.2969E-02
  0.5395E+01  0.2001E+00  0.3017E-02
  0.5471E+01  0.1875E+00  0.3067E-02
  0.5547E+01  0.1754E+00  0.3113E-02
  0.5623E+01  0.1638E+00  0.3150E-02
  0.5699E+01  0.1529E+00  0.3178E-02
  0.5775E+01  0.1426E+00  0.3196E-02
  0.5851E+01  0.1330E+00  0.3206E-02
  0.5927E+01  0.1241E+00  0.3211E-02
  0.6003E+01  0.1158E+00  0.3217E-02
  0.6079E+01  0.1082E+00  0.3229E-02
  0.6155E+01  0.1012E+00  0.3250E-02
  0.6231E+01  0.9478E-01  0.3284E-02
  0.6307E+01  0.8887E-01  0.3331E-02
  0.6383E+01  0.8340E-01  0.3389E-02
  0.6459E+01  0.7829E-01  0.3455E-02
  0.6535E+01  0.7347E-01  0.3523E-02
  0.6611E+01  0.6887E-01  0.3586E-02
  0.6687E+01  0.6439E-01  0.3637E-02
  0.6763E+01  0.5997E-01  0.3667E-02
  0.6839E+01  0.5553E-01  0.3667E-02
  0.6915E+01  0.5101E-01  0.3629E-02
  0.6991E+01  0.4636E-01  0.3544E-02
  0.7067E+01  0.4151E-01  0.3401E-02
  0.7143E+01  0.3643E-01  0.3192E-02
  0.7219E+01  0.3110E-01  0.2906E-02
  0.7295E+01  0.2548E-01  0.2534E-02
  0.7371E+01  0.1957E-01  0.2065E-02
  0.7447E+01  0.1335E-01  0.1492E-02
  0.7523E+01  0.6827E-02  0.8063E-03
  0.7599E+01  0.0000E+00  0.0000E+00
#          Reciprocal space: Rg =    2.24     , I(0) =   0.3812E+02
#     Real space: Rg =    2.25 +- 0.006  I(0) =   0.3812E+02 +-  0.7011E-01
