# Fitted chi: 0.21616 +- 0.00597583
# Scaling factor for file 1: 0.837704 +- 0.00192988
# Scaling factor for file 2: 0.122897 +- 0.0490925
# Scaling factor for file 3: 0.0126132 +- 0.0872746
# Scaling factor for file 4: 0.0251624 +- 0.0625283

@type xydy
0.3011719 55.012167 0.159727276943
0.3059148 54.575303 0.157826380208
0.3106577 54.240092 0.156100523015
0.3154005 54.098608 0.154696076738
0.3201434 53.93404 0.153295246751
0.3248863 54.018895 0.152269340408
0.3296291 53.631752 0.150596992788
0.334372 53.785971 0.149717277845
0.3391149 53.569238 0.149909196502
0.3438577 53.403171 0.151610923988
0.3486006 53.252058 0.155250171704
0.3533435 53.153458 0.157951615456
0.3580863 52.877466 0.159499432713
0.3628292 52.528258 0.160539736173
0.367572 52.527543 0.161860016986
0.3723149 52.603474 0.16316913648
0.3770578 52.462566 0.164040899845
0.3818006 51.985671 0.164164840014
0.3865435 51.558166 0.164295041197
0.3912864 51.343463 0.164610062462
0.3960292 51.371282 0.165331195719
0.4007721 51.314618 0.165946275303
0.405515 51.457781 0.171905075599
0.4102578 51.105576 0.175783125189
0.4150007 50.539778 0.178635176751
0.4197436 50.687 0.18165045509
0.4244864 50.72068 0.18465317528
0.4292293 50.377885 0.186839478828
0.4339722 50.180348 0.189327941027
0.438715 50.099433 0.191935089786
0.4434579 49.807505 0.194186541741
0.4482008 49.591066 0.197035763612
0.4529436 49.466008 0.199994442291
0.4576865 49.093018 0.201319661032
0.4624294 48.827474 0.202447003211
0.4671722 48.704427 0.201192870952
0.4719151 49.179953 0.194215199844
0.4766579 49.030944 0.190269644671
0.4814008 48.479234 0.186792669371
0.4861437 48.250994 0.184518073019
0.4908865 48.115141 0.182755923876
0.4956294 48.042002 0.181331776206
0.5003723 47.809877 0.179755625814
0.5051151 47.686994 0.178505786819
0.509858 47.663458 0.177533927782
0.5146009 47.623958 0.176603495265
0.5193437 47.213687 0.175036734657
0.5240866 46.852471 0.173614731464
0.5288295 46.959334 0.173100960105
0.5335723 46.877469 0.171933217482
0.5383152 46.420731 0.169858935845
0.5430581 45.968742 0.167852483741
0.5478009 46.03603 0.166842503643
0.5525438 45.965822 0.165623632071
0.5572867 45.682433 0.164053789624
0.5620295 45.64116 0.162957146748
0.5667724 45.452333 0.161631426125
0.5715152 45.14267 0.160123713903
0.5762581 44.733382 0.158465106698
0.581001 44.890141 0.15787793294
0.5857438 44.87545 0.157380179131
0.5904867 44.845866 0.15695008039
0.5952296 44.548096 0.156050603175
0.5999724 44.268542 0.155352500803
0.6047153 44.154463 0.154759899413
0.6094582 43.997017 0.153988408054
0.614201 43.823697 0.153468690494
0.6189439 43.765567 0.152868755396
0.6236868 43.544571 0.152130497394
0.6284296 43.597656 0.151876888537
0.6331725 43.198294 0.150833942993
0.6379154 43.123337 0.150361184608
0.6426582 42.934324 0.149694704644
0.6474011 42.833237 0.149185696334
0.652144 42.655091 0.148541749245
0.6568868 42.482257 0.147911363751
0.6616297 42.375834 0.147401339574
0.6663726 42.26811 0.146892673499
0.6711154 42.22551 0.146496394372
0.6758583 41.899018 0.145610923089
0.6806011 41.742352 0.145024738839
0.685344 41.530015 0.144345858871
0.6900869 41.252921 0.143553814017
0.6948297 41.269044 0.143274416862
0.6995726 41.282189 0.142993322271
0.7043155 41.012276 0.142225222587
0.7090583 40.831298 0.141611035231
0.7138012 40.950182 0.141518314074
0.7185441 40.79297 0.140952061287
0.7232869 40.57799 0.140289298691
0.7280298 40.402144 0.139694104103
0.7327727 40.189021 0.139036336535
0.7375155 39.948392 0.138335415461
0.7422584 39.90106 0.137971778796
0.7470013 40.022421 0.137899111709
0.7517441 39.784693 0.137208420741
0.756487 39.487993 0.136420044234
0.7612299 39.371435 0.135945423
0.7659727 39.127112 0.135250541138
0.7707156 39.223801 0.135145398003
0.7754585 39.147215 0.134745757931
0.7802013 39.008699 0.134374017264
0.7849442 38.794299 0.133692751173
0.789687 38.899579 0.133522911613
0.7944299 38.670942 0.132869585641
0.7991728 38.203788 0.131807707335
0.8039156 38.187969 0.131523723729
0.8086585 38.435486 0.131691873877
0.8134014 38.006855 0.130702965119
0.8181442 38.028606 0.130588351899
0.8228871 37.854145 0.129945503243
0.82763 37.627913 0.129302536467
0.8323728 37.660589 0.129112541814
0.8371157 37.664721 0.128875976585
0.8418586 37.437416 0.128243445407
0.8466014 37.222897 0.127633158841
0.8513443 37.036006 0.127073887736
0.8560872 36.984268 0.126748688884
0.86083 36.940428 0.126437485539
0.8655729 36.601063 0.125620392256
0.8703158 36.442249 0.125116009343
0.8750586 36.426262 0.124858709308
0.8798015 36.331581 0.124467429535
0.8845443 36.293384 0.124173068121
0.8892872 36.209902 0.123803900857
0.8940301 36.199732 0.1235624928
0.8987729 36.101328 0.123171032552
0.9035158 35.808405 0.122447394747
0.9082587 35.892636 0.12237118909
0.9130015 35.922201 0.122202785365
0.9177444 35.769214 0.121724779447
0.9224873 35.458044 0.120977025216
0.9272301 35.469485 0.120781935766
0.931973 35.439225 0.120517617527
0.9367159 35.219123 0.119931367047
0.9414587 35.060102 0.119448792752
0.9462016 35.041908 0.119208692664
0.9509445 35.007439 0.118943066593
0.9556873 34.720705 0.118249180081
0.9604302 34.609346 0.117853458333
0.9651731 34.664772 0.117744191966
0.9699159 34.583547 0.117404299724
0.9746588 34.575893 0.117190218252
0.9794017 34.416281 0.116718153371
