@s0 legend "1"
3.082862000000000102e-02 622.7092575    3.43349634
3.557148999999999728e-02 2389.71048333  444.11029626
4.031434999999999880e-02 3055.0192      557.70777272
4.505722000000000199e-02 1565.514735    212.05378654
4.980007999999999657e-02 986.97385917 121.7393556 
5.454294999999999977e-02 685.91626917  79.06966002
5.928581000000000129e-02 493.71758667  53.91663868
6.402868000000000448e-02 380.5676025   37.82045372
6.877154000000000600e-02 305.29184667  27.84343194
7.351441000000000225e-02 251.156825   21.1565184
7.825727999999999851e-02 210.35919417  16.15116634
8.300014000000000003e-02 181.52927583  12.86078853
8.774300999999999628e-02 160.03370917  10.44512909
9.248586999999999780e-02 143.63877      8.65340915
9.722873999999999406e-02 130.17375917   7.24407258
1.019715999999999956e-01 119.18017575   6.1732725 
1.067145000000000038e-01 111.82316883   5.46034664
1.114572999999999953e-01 104.95513917   4.8467819 
1.162002000000000035e-01 99.32254092  4.45047437
1.209430999999999978e-01 95.33844908  4.1348416 
1.256858999999999893e-01 91.64468167  3.77935318
1.304288000000000114e-01 88.47988642  3.54619681
1.351717000000000057e-01 85.559085    3.32516847
1.399144999999999972e-01 83.28839942  3.19438764
1.446573999999999915e-01 80.93149708  3.11876308
1.494003000000000136e-01 79.15450358  2.9526131 
1.541431000000000051e-01 77.83372175  2.8711821 
1.588859999999999995e-01 76.3605925   2.86419822
1.636287999999999909e-01 75.11897592  2.75709592
1.683717000000000130e-01 73.9790055   2.73402523
1.731146000000000074e-01 72.81265617  2.67830289
1.778573999999999988e-01 71.904404    2.65645907
1.826002999999999932e-01 70.96167867  2.62405187
1.873431999999999875e-01 70.24774642  2.54089032
1.920860000000000067e-01 69.53037875  2.49160845
1.968289000000000011e-01 68.93392808  2.49081739
2.015717999999999954e-01 68.36676333  2.49313477
2.063145999999999869e-01 67.82749633  2.46228351
2.110575000000000090e-01 67.35740242  2.46750478
2.158004000000000033e-01 66.74950225  2.4191433 
2.205431999999999948e-01 66.23444092  2.38382982
2.252860999999999891e-01 65.84658942  2.38240178
2.300290000000000112e-01 65.48903383  2.32862734
2.347718000000000027e-01 65.11070767  2.33397613
2.395146999999999970e-01 64.70111333  2.33413532
2.442575999999999914e-01 64.26845208  2.29729735
2.490004000000000106e-01 64.08242383  2.28697363
2.537433000000000050e-01 63.539076    2.28091231
2.584861999999999993e-01 63.18042808  2.27066374
2.632289999999999908e-01 62.92852258  2.22101417
2.679718999999999851e-01 62.66509058  2.22453041
2.727146999999999766e-01 62.32453375  2.19303569
2.774576000000000264e-01 62.1068585   2.18356877
2.822005000000000208e-01 61.83772008  2.1674928 
2.869433000000000122e-01 61.5147625   2.13481736
2.916862000000000066e-01 61.30794708  2.1075434 
2.964291000000000009e-01 60.9317925   2.10623665
3.011718999999999924e-01 60.70029042  2.11116504
3.059147999999999867e-01 60.50959675  2.10005071
3.106576999999999811e-01 60.19086433  2.09899867
3.154004999999999725e-01 59.92863258  2.05723684
3.201434000000000224e-01 59.79859375  2.03816471
3.248863000000000167e-01 59.51471217  2.04253357
3.296291000000000082e-01 59.2438155   2.05819973
3.343720000000000026e-01 59.1305235   2.01147124
3.391148999999999969e-01 59.14863208  2.01964898
3.438576999999999884e-01 58.9648905   1.99076518
3.486005999999999827e-01 58.61007975  1.97034893
3.533434999999999770e-01 58.39199825  1.96730839
3.580863000000000240e-01 58.18360917  1.96473873
3.628292000000000184e-01 57.90154292  1.94640954
3.675720000000000098e-01 57.67546083  1.89206407
3.723149000000000042e-01 57.52156042  1.89240554
3.770577999999999985e-01 57.29987467  1.90593433
3.818005999999999900e-01 57.02247283  1.86124081
3.865434999999999843e-01 56.83165308  1.88328911
3.912863999999999787e-01 56.5158425   1.85071768
3.960292000000000256e-01 56.42925042  1.84491059
4.007721000000000200e-01 56.44254058  1.87563806
4.055150000000000143e-01 56.269322    1.82545196
4.102578000000000058e-01 56.005665    1.83433352
4.150007000000000001e-01 55.6879515   1.78611784
4.197435999999999945e-01 55.59536617  1.79946992
4.244863999999999860e-01 55.32384217  1.77628101
4.292292999999999803e-01 55.05244233  1.73495962
4.339721999999999746e-01 54.82062008  1.75581068
4.387150000000000216e-01 54.69781825  1.72278182
4.434579000000000160e-01 54.61902942  1.72264096
4.482008000000000103e-01 54.23332225  1.72222324
4.529436000000000018e-01 54.06143217  1.69206852
4.576864999999999961e-01 53.88810642  1.67152034
4.624293999999999905e-01 53.67988725  1.6661454 
4.671721999999999819e-01 53.68213183  1.68034558
4.719150999999999763e-01 53.73168033  1.64155249
4.766579000000000232e-01 53.4092605   1.64223585
4.814008000000000176e-01 53.13264842  1.62423114
4.861437000000000119e-01 52.90291642  1.62099007
