@s0 legend "1"
3.082862000000000102e-02 611.80123421   0.79250864
3.557148999999999728e-02 1.1909988e+03 1.1718660e+00
4.031434999999999880e-02 1.15642033e+03 1.14557641e+00
4.505722000000000199e-02 907.53269458   1.07892913
4.980007999999999657e-02 618.30094673   0.71156337
5.454294999999999977e-02 441.97622084   0.5023987 
5.928581000000000129e-02 321.41872336   0.35925126
6.402868000000000448e-02 250.49478981   0.26267619
6.877154000000000600e-02 2.00924974e+02 1.99574728e-01
7.351441000000000225e-02 1.63574144e+02 1.57214905e-01
7.825727999999999851e-02 1.35311730e+02 1.26155948e-01
8.300014000000000003e-02 1.14748891e+02 1.00517320e-01
8.774300999999999628e-02 9.93234326e+01 8.76547455e-02
9.248586999999999780e-02 8.75565019e+01 7.56499057e-02
9.722873999999999406e-02 7.76383516e+01 6.11591011e-02
1.019715999999999956e-01 6.95282870e+01 4.99552304e-02
1.067145000000000038e-01 6.42408926e+01 4.12062729e-02
1.114572999999999953e-01 5.89794216e+01 3.45676643e-02
1.162002000000000035e-01 5.45707356e+01 3.37729600e-02
1.209430999999999978e-01 5.13487786e+01 2.74764417e-02
1.256858999999999893e-01 4.89142539e+01 2.51484433e-02
1.304288000000000114e-01 4.64965956e+01 2.66566360e-02
1.351717000000000057e-01 4.43232981e+01 2.28955167e-02
1.399144999999999972e-01 4.23994348e+01 2.09673339e-02
1.446573999999999915e-01 4.07275252e+01 1.85797890e-02
1.494003000000000136e-01 3.93500761e+01 1.96528294e-02
1.541431000000000051e-01 3.83279103e+01 2.02164264e-02
1.588859999999999995e-01 3.72404936e+01 2.05269323e-02
1.636287999999999909e-01 3.62325247e+01 1.66928676e-02
1.683717000000000130e-01 3.53614245e+01 1.62884666e-02
1.731146000000000074e-01 3.46091453e+01 1.53222760e-02
1.778573999999999988e-01 3.38940001e+01 1.48634865e-02
1.826002999999999932e-01 3.32602545e+01 1.66364342e-02
1.873431999999999875e-01 3.26684668e+01 1.29615547e-02
1.920860000000000067e-01 3.22151302e+01 1.39822957e-02
1.968289000000000011e-01 3.17752934e+01 1.28989619e-02
2.015717999999999954e-01 3.13877702e+01 1.32391627e-02
2.063145999999999869e-01 3.09994470e+01 1.33540138e-02
2.110575000000000090e-01 3.06426737e+01 1.36244551e-02
2.158004000000000033e-01 3.03542330e+01 1.32492472e-02
2.205431999999999948e-01 3.00676676e+01 1.19042205e-02
2.252860999999999891e-01 2.98316984e+01 1.31584387e-02
2.300290000000000112e-01 2.95927070e+01 1.25540831e-02
2.347718000000000027e-01 2.93993069e+01 1.06373649e-02
2.395146999999999970e-01 2.91750281e+01 1.13287820e-02
2.442575999999999914e-01 2.90025963e+01 1.17402330e-02
2.490004000000000106e-01 2.88316953e+01 1.11455287e-02
2.537433000000000050e-01 2.86367752e+01 1.17683102e-02
2.584861999999999993e-01 2.84534023e+01 1.15584365e-02
2.632289999999999908e-01 2.83220694e+01 1.02241255e-02
2.679718999999999851e-01 2.81646029e+01 1.09215171e-02
2.727146999999999766e-01 2.80326846e+01 1.14903743e-02
2.774576000000000264e-01 2.79329125e+01 9.39133279e-03
2.822005000000000208e-01 2.78210410e+01 1.03267231e-02
2.869433000000000122e-01 2.76766677e+01 1.02293210e-02
2.916862000000000066e-01 2.75520131e+01 1.00576471e-02
2.964291000000000009e-01 2.74618600e+01 1.01181351e-02
3.011718999999999924e-01 2.73800162e+01 8.66793930e-03
3.059147999999999867e-01 2.73049871e+01 1.04962227e-02
3.106576999999999811e-01 2.72265168e+01 9.60687928e-03
3.154004999999999725e-01 2.71487727e+01 9.99696914e-03
3.201434000000000224e-01 2.70954655e+01 9.52384931e-03
3.248863000000000167e-01 2.70355494e+01 9.85019045e-03
3.296291000000000082e-01 2.69921402e+01 9.34927083e-03
3.343720000000000026e-01 2.70004784e+01 9.69327766e-03
3.391148999999999969e-01 2.70053126e+01 9.91784493e-03
3.438576999999999884e-01 2.70007477e+01 8.92674930e-03
3.486005999999999827e-01 2.69256549e+01 9.49662576e-03
3.533434999999999770e-01 2.68673404e+01 1.03045119e-02
3.580863000000000240e-01 2.67894668e+01 1.00515625e-02
3.628292000000000184e-01 2.67288188e+01 1.06118578e-02
3.675720000000000098e-01 2.67180778e+01 1.05007599e-02
3.723149000000000042e-01 2.66697091e+01 9.50197358e-03
3.770577999999999985e-01 2.66380328e+01 9.04399327e-03
3.818005999999999900e-01 2.65936600e+01 1.06616103e-02
3.865434999999999843e-01 2.65666253e+01 1.03923924e-02
3.912863999999999787e-01 2.65352770e+01 1.19551781e-02
3.960292000000000256e-01 2.65133984e+01 1.13397152e-02
4.007721000000000200e-01 2.66140939e+01 1.19058868e-02
4.055150000000000143e-01 2.66026941e+01 1.06409463e-02
4.102578000000000058e-01 2.65557872e+01 1.12721256e-02
4.150007000000000001e-01 2.65463283e+01 1.24687789e-02
4.197435999999999945e-01 2.64906798e+01 1.11480286e-02
4.244863999999999860e-01 2.64635630e+01 1.25523798e-02
4.292292999999999803e-01 2.64412447e+01 1.25654792e-02
4.339721999999999746e-01 2.64282145e+01 1.36088291e-02
4.387150000000000216e-01 2.64451254e+01 1.35636727e-02
4.434579000000000160e-01 2.64102643e+01 1.29038541e-02
4.482008000000000103e-01 2.63623462e+01 1.23493892e-02
4.529436000000000018e-01 2.63551872e+01 1.34051587e-02
4.576864999999999961e-01 2.63463231e+01 1.33703959e-02
4.624293999999999905e-01 2.63455637e+01 1.29594654e-02
4.671721999999999819e-01 2.64254328e+01 1.15355000e-02
4.719150999999999763e-01 2.65664998e+01 1.18028199e-02
4.766579000000000232e-01 2.64633425e+01 1.33617109e-02
4.814008000000000176e-01 2.64061047e+01 1.20099916e-02
4.861437000000000119e-01 2.63728292e+01 1.16455340e-02
4.908865000000000034e-01 2.63357204e+01 1.11279911e-02
4.956293999999999977e-01 2.63130031e+01 1.20901521e-02
5.003722999999999921e-01 2.63062706e+01 1.26452445e-02
5.051151000000000391e-01 2.63010015e+01 1.11177397e-02
5.098580000000000334e-01 2.62522451e+01 1.18024852e-02
5.146009000000000277e-01 2.62365631e+01 1.24332884e-02
5.193436999999999637e-01 2.62290533e+01 1.18532203e-02
5.240865999999999580e-01 2.62133562e+01 1.23762017e-02
5.288294999999999524e-01 2.61912302e+01 1.29209092e-02
5.335722999999999994e-01 2.61493036e+01 1.17168537e-02
5.383151999999999937e-01 2.61528561e+01 1.20375906e-02
5.430580999999999881e-01 2.61191956e+01 1.21358839e-02
5.478009000000000350e-01 2.61293904e+01 1.28997496e-02
5.525438000000000294e-01 2.61157126e+01 9.35939581e-03
5.572867000000000237e-01 2.61226068e+01 1.12657208e-02
5.620294999999999597e-01 2.60948683e+01 1.14460420e-02
5.667723999999999540e-01 2.60700018e+01 1.03595488e-02
5.715152000000000010e-01 2.60616452e+01 9.92689153e-03
5.762580999999999953e-01 2.60853289e+01 9.59854452e-03
5.810009999999999897e-01 2.61125613e+01 1.15315576e-02
5.857438000000000367e-01 2.60721727e+01 1.16115702e-02
5.904867000000000310e-01 2.60390048e+01 1.01696855e-02
5.952296000000000253e-01 2.60255873e+01 9.82799441e-03
5.999723999999999613e-01 2.60419906e+01 1.05682207e-02
6.047152999999999556e-01 2.60277666e+01 1.12257304e-02
6.094581999999999500e-01 2.60287660e+01 1.06693198e-02
6.142009999999999970e-01 2.60052699e+01 1.08427436e-02
6.189438999999999913e-01 2.60276497e+01 1.21095950e-02
6.236867999999999856e-01 2.60074925e+01 1.18938970e-02
6.284296000000000326e-01 2.60101391e+01 1.00334635e-02
6.331725000000000270e-01 2.60110715e+01 1.16415194e-02
6.379154000000000213e-01 2.59718141e+01 1.02882383e-02
6.426581999999999573e-01 2.59773519e+01 1.12746012e-02
6.474010999999999516e-01 2.59756511e+01 1.08937232e-02
6.521439999999999459e-01 2.59802044e+01 1.01151981e-02
6.568867999999999929e-01 2.59610074e+01 1.14721387e-02
6.616296999999999873e-01 2.59431614e+01 9.90420399e-03
6.663725999999999816e-01 2.59456728e+01 1.12257452e-02
6.711154000000000286e-01 2.59380530e+01 1.08647134e-02
6.758583000000000229e-01 2.59307237e+01 1.07930534e-02
6.806010999999999589e-01 2.59369100e+01 9.21070826e-03
6.853439999999999532e-01 2.59371038e+01 1.07634450e-02
6.900868999999999476e-01 2.59245260e+01 1.07465022e-02
6.948296999999999946e-01 2.59014834e+01 1.19409365e-02
6.995725999999999889e-01 2.59273343e+01 1.05406968e-02
7.043154999999999832e-01 2.59025081e+01 1.15965804e-02
7.090583000000000302e-01 2.59191491e+01 9.43179621e-03
7.138012000000000246e-01 2.58961252e+01 1.06041609e-02
7.185441000000000189e-01 2.58923746e+01 9.67887836e-03
7.232868999999999549e-01 2.58860817e+01 9.91864452e-03
7.280297999999999492e-01 2.58759103e+01 1.07686950e-02
7.327727000000000546e-01 2.58845982e+01 1.19415951e-02
7.375154999999999905e-01 2.58817468e+01 9.47175525e-03
7.422583999999999849e-01 2.58917285e+01 9.45478018e-03
7.470012999999999792e-01 2.58719219e+01 1.00440893e-02
7.517441000000000262e-01 2.58599632e+01 9.22965088e-03
7.564870000000000205e-01 2.58492810e+01 1.01746731e-02
7.612299000000000149e-01 2.58677789e+01 8.97644866e-03
7.659726999999999508e-01 2.58567386e+01 1.04261285e-02
7.707155999999999452e-01 2.58437237e+01 1.06680200e-02
7.754585000000000505e-01 2.58468253e+01 1.04444281e-02
7.802012999999999865e-01 2.58574131e+01 1.08915375e-02
7.849441999999999808e-01 2.58647342e+01 1.09070160e-02
7.896870000000000278e-01 2.58274495e+01 1.00491011e-02
